Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,fit_time
Neural Networks,0.7,0.45,0.95,0.48,0.87,0.89,0.52,MLPClassifier,"{'activation': 'relu', 'alpha': 0.3, 'hidden_layer_sizes': (30, 30), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 2000, 'random_state': 42, 'solver': 'sgd'}",0.01
Neural Networks,0.66,0.36,0.96,0.44,0.85,0.89,0.57,MLPClassifier,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (30, 30), 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 2000, 'random_state': 42, 'solver': 'sgd'}",0.01
Neural Networks,0.65,0.34,0.97,0.43,0.89,0.89,0.57,MLPClassifier,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': 22, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 2000, 'random_state': 42, 'solver': 'sgd'}",0.01
Neural Networks,0.65,0.34,0.97,0.43,0.89,0.89,0.59,MLPClassifier,"{'activation': 'relu', 'alpha': 0.3, 'hidden_layer_sizes': 22, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 2000, 'random_state': 42, 'solver': 'sgd'}",0.01
Neural Networks,0.65,0.34,0.96,0.42,0.88,0.89,0.55,MLPClassifier,"{'activation': 'relu', 'alpha': 0.3, 'hidden_layer_sizes': 22, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 2000, 'random_state': 42, 'solver': 'sgd'}",0.01
