Dataset,Features,Model,BalAcc,Sens,Spec,f1,AUC,Acc,Prec,Classifier,Hyperparams,Estimator_Desc,Estimator_Class,Estimator_Hyperparams
Ensemble-Imbalance,All Features,Balanced Bagging,0.81,0.74,0.87,0.57,0.89,0.86,0.47,BalancedBaggingClassifier,"{'estimator': MLPClassifier(alpha=0.1, hidden_layer_sizes=23, learning_rate_init=0.7,              max_iter=300, random_state=42, solver='sgd'), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",Neural Networks,MLPClassifier,"{'alpha': '0.1', 'hidden_layer_sizes': '23', 'learning_rate_init': '0.7', 'max_iter': '300', 'random_state': '42', 'solver': 'sgd'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.8,0.77,0.84,0.54,0.89,0.83,0.41,BalancedBaggingClassifier,"{'estimator': RandomForestClassifier(class_weight='balanced', max_depth=5, n_estimators=50, random_state=42), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",Random Forest,RandomForestClassifier,"{'class_weight': 'balanced', 'max_depth': '5', 'n_estimators': '50', 'random_state': '42'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.8,0.77,0.83,0.53,0.89,0.82,0.4,BalancedBaggingClassifier,"{'estimator': MLPClassifier(alpha=0.1, hidden_layer_sizes=23, learning_rate_init=0.7,              max_iter=300, random_state=42, solver='sgd'), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}",Neural Networks,MLPClassifier,"{'alpha': '0.1', 'hidden_layer_sizes': '23', 'learning_rate_init': '0.7', 'max_iter': '300', 'random_state': '42', 'solver': 'sgd'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.8,0.77,0.83,0.53,0.89,0.82,0.4,BalancedBaggingClassifier,"{'estimator': MLPClassifier(alpha=0.1, hidden_layer_sizes=23, learning_rate_init=0.7,              max_iter=300, random_state=42, solver='sgd'), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}",Neural Networks,MLPClassifier,"{'alpha': '0.1', 'hidden_layer_sizes': '23', 'learning_rate_init': '0.7', 'max_iter': '300', 'random_state': '42', 'solver': 'sgd'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.8,0.77,0.83,0.54,0.89,0.83,0.41,BalancedBaggingClassifier,"{'estimator': RandomForestClassifier(class_weight='balanced', max_depth=5, n_estimators=50, random_state=42), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}",Random Forest,RandomForestClassifier,"{'class_weight': 'balanced', 'max_depth': '5', 'n_estimators': '50', 'random_state': '42'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.8,0.77,0.83,0.54,0.89,0.83,0.41,BalancedBaggingClassifier,"{'estimator': RandomForestClassifier(class_weight='balanced', max_depth=5, n_estimators=50, random_state=42), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}",Random Forest,RandomForestClassifier,"{'class_weight': 'balanced', 'max_depth': '5', 'n_estimators': '50', 'random_state': '42'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.8,0.76,0.84,0.54,0.88,0.83,0.42,BalancedBaggingClassifier,"{'estimator': SVC(C=0.1, gamma='auto', probability=True, random_state=42), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}",SVM,SVC,"{'C': '0.1', 'gamma': 'auto', 'probability': 'True', 'random_state': '42'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.8,0.76,0.84,0.54,0.88,0.83,0.42,BalancedBaggingClassifier,"{'estimator': SVC(C=0.1, gamma='auto', probability=True, random_state=42), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}",SVM,SVC,"{'C': '0.1', 'gamma': 'auto', 'probability': 'True', 'random_state': '42'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.8,0.74,0.85,0.54,0.88,0.84,0.43,BalancedBaggingClassifier,"{'estimator': GaussianNB(), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",Naïve Bayes,GaussianNB,
Ensemble-Imbalance,All Features,Balanced Bagging,0.8,0.74,0.85,0.54,0.88,0.84,0.43,BalancedBaggingClassifier,"{'estimator': GaussianNB(), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}",Naïve Bayes,GaussianNB,
