Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,fit_time
Random Forest,0.79,0.74,0.83,0.5,0.87,0.82,0.38,RandomForestClassifier,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 5, 'random_state': 42}",0.01
Random Forest,0.78,0.74,0.81,0.47,0.87,0.8,0.34,RandomForestClassifier,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 9, 'random_state': 42}",0.01
Random Forest,0.74,0.66,0.82,0.44,0.85,0.8,0.33,RandomForestClassifier,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 7, 'n_estimators': 9, 'random_state': 42}",0.01
Random Forest,0.72,0.62,0.82,0.42,0.84,0.8,0.32,RandomForestClassifier,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 7, 'n_estimators': 5, 'random_state': 42}",0.01
