Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,fit_time
SVM,0.84,0.89,0.79,0.52,0.89,0.8,0.37,SVC,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.01
SVM,0.84,0.89,0.79,0.52,0.89,0.8,0.37,SVC,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.01
SVM,0.83,0.91,0.76,0.49,0.89,0.77,0.34,SVC,"{'C': 0.3, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.01
SVM,0.82,0.85,0.8,0.51,0.89,0.8,0.36,SVC,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}",0.03
SVM,0.82,0.85,0.78,0.49,0.89,0.79,0.35,SVC,"{'C': 0.3, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}",0.03
