Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}",GaussianNB(),0.01
Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",GaussianNB(),0.01
Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}",GaussianNB(),0.01
Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}",GaussianNB(),0.01
Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': True}",GaussianNB(),0.01
