Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.72,0.66,0.78,0.4,0.85,0.76,0.29,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}","KNeighborsClassifier(metric='manhattan', n_neighbors=3, weights='distance')",0.08
Balanced Bagging,0.72,0.66,0.78,0.4,0.85,0.76,0.29,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}","KNeighborsClassifier(metric='manhattan', n_neighbors=3, weights='distance')",0.08
Balanced Bagging,0.72,0.66,0.78,0.4,0.85,0.76,0.29,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': True}","KNeighborsClassifier(metric='manhattan', n_neighbors=3, weights='distance')",0.08
Balanced Bagging,0.72,0.66,0.78,0.4,0.85,0.76,0.29,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': True}","KNeighborsClassifier(metric='manhattan', n_neighbors=3, weights='distance')",0.08
Balanced Bagging,0.72,0.66,0.78,0.4,0.85,0.76,0.29,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}","KNeighborsClassifier(metric='manhattan', n_neighbors=3, weights='distance')",0.09
