Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,fit_time
Neural Networks,0.73,0.53,0.93,0.51,0.89,0.88,0.49,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (22,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.5, 'max_iter': 2000, 'random_state': 42, 'solver': 'adam'}",0.01
Neural Networks,0.73,0.53,0.93,0.51,0.89,0.88,0.49,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (22,), 'learning_rate': 'constant', 'learning_rate_init': 0.5, 'max_iter': 2000, 'random_state': 42, 'solver': 'adam'}",0.01
Neural Networks,0.65,0.3,0.99,0.44,0.88,0.91,0.88,MLPClassifier,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (22, 44, 44, 22), 'learning_rate': 'constant', 'learning_rate_init': 0.3, 'max_iter': 2000, 'random_state': 42, 'solver': 'sgd'}",0.01
Neural Networks,0.61,0.21,1.0,0.35,0.87,0.91,1.0,MLPClassifier,"{'activation': 'relu', 'alpha': 0.3, 'hidden_layer_sizes': (22, 44, 44, 22), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 2000, 'random_state': 42, 'solver': 'adam'}",0.01
Neural Networks,0.61,0.21,1.0,0.35,0.87,0.91,1.0,MLPClassifier,"{'activation': 'relu', 'alpha': 0.3, 'hidden_layer_sizes': (22, 44, 44, 22), 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'max_iter': 2000, 'random_state': 42, 'solver': 'adam'}",0.01
