Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Single_Model,without_Diagnosis_Delay,Random Forest,0.64,0.32,0.96,0.4,0.82,0.89,0.54,RandomForestClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':15,'n_estimators':11,'random_state':42}",,,,0.01,0.64,0.32,0.96,0.41,0.8,0.88,0.58
Single_Model,without_Diagnosis_Delay,Random Forest,0.64,0.32,0.95,0.38,0.82,0.88,0.48,RandomForestClassifier,"{'class_weight':None,'criterion':'gini','max_depth':15,'n_estimators':21,'random_state':42}",,,,0.01,0.65,0.33,0.96,0.42,0.81,0.88,0.58
Single_Model,without_Diagnosis_Delay,Random Forest,0.64,0.3,0.99,0.44,0.88,0.91,0.82,RandomForestClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':5,'n_estimators':51,'random_state':42}",,,,0.01,0.61,0.23,0.99,0.34,0.85,0.89,0.73
Single_Model,without_Diagnosis_Delay,Random Forest,0.64,0.3,0.98,0.42,0.86,0.9,0.7,RandomForestClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':10,'n_estimators':21,'random_state':42}",,,,0.01,0.63,0.29,0.97,0.4,0.83,0.89,0.63
Single_Model,without_Diagnosis_Delay,Random Forest,0.64,0.3,0.98,0.41,0.88,0.9,0.64,RandomForestClassifier,"{'class_weight':None,'criterion':'gini','max_depth':7,'n_estimators':51,'random_state':42}",,,,0.01,0.63,0.27,0.98,0.38,0.85,0.89,0.69
Single_Model,without_Diagnosis_Delay,Random Forest,0.64,0.3,0.98,0.42,0.89,0.9,0.7,RandomForestClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':7,'n_estimators':51,'random_state':42}",,,,0.01,0.62,0.26,0.98,0.37,0.85,0.89,0.71
Single_Model,without_Diagnosis_Delay,Random Forest,0.64,0.3,0.97,0.4,0.86,0.89,0.61,RandomForestClassifier,"{'class_weight':None,'criterion':'gini','max_depth':10,'n_estimators':15,'random_state':42}",,,,0.01,0.63,0.29,0.97,0.39,0.83,0.88,0.61
Single_Model,without_Diagnosis_Delay,Random Forest,0.64,0.3,0.97,0.4,0.85,0.89,0.61,RandomForestClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':10,'n_estimators':15,'random_state':42}",,,,0.01,0.62,0.27,0.97,0.38,0.82,0.88,0.63
Single_Model,without_Diagnosis_Delay,Random Forest,0.64,0.28,0.99,0.42,0.88,0.91,0.87,RandomForestClassifier,"{'class_weight':None,'criterion':'gini','max_depth':5,'n_estimators':51,'random_state':42}",,,,0.01,0.62,0.24,0.99,0.36,0.85,0.89,0.73
Single_Model,without_Diagnosis_Delay,Random Forest,0.63,0.3,0.97,0.38,0.87,0.89,0.54,RandomForestClassifier,"{'class_weight':None,'criterion':'gini','max_depth':10,'n_estimators':21,'random_state':42}",,,,0.01,0.64,0.3,0.97,0.4,0.83,0.88,0.62
Single_Model,without_Diagnosis_Delay,Random Forest,0.63,0.3,0.95,0.36,0.78,0.88,0.47,RandomForestClassifier,"{'class_weight':None,'criterion':'gini','max_depth':15,'n_estimators':15,'random_state':42}",,,,0.01,0.65,0.33,0.96,0.42,0.8,0.88,0.59
Single_Model,without_Diagnosis_Delay,Random Forest,0.63,0.28,0.98,0.39,0.86,0.9,0.65,RandomForestClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':10,'n_estimators':11,'random_state':42}",,,,0.01,0.63,0.28,0.97,0.39,0.82,0.89,0.63
Single_Model,without_Diagnosis_Delay,Random Forest,0.63,0.28,0.98,0.38,0.85,0.89,0.62,RandomForestClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':15,'n_estimators':21,'random_state':42}",,,,0.01,0.63,0.29,0.97,0.38,0.82,0.88,0.58
Single_Model,without_Diagnosis_Delay,Random Forest,0.62,0.26,0.99,0.39,0.88,0.91,0.86,RandomForestClassifier,"{'class_weight':None,'criterion':'gini','max_depth':5,'n_estimators':11,'random_state':42}",,,,0.01,0.61,0.23,0.99,0.34,0.84,0.89,0.71
Single_Model,without_Diagnosis_Delay,Random Forest,0.62,0.26,0.99,0.39,0.88,0.9,0.8,RandomForestClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':5,'n_estimators':21,'random_state':42}",,,,0.01,0.6,0.22,0.99,0.33,0.85,0.89,0.71
Single_Model,without_Diagnosis_Delay,Random Forest,0.62,0.23,1.0,0.37,0.87,0.91,0.92,RandomForestClassifier,"{'class_weight':None,'criterion':'gini','max_depth':5,'n_estimators':15,'random_state':42}",,,,0.01,0.61,0.24,0.99,0.35,0.85,0.89,0.71
Single_Model,without_Diagnosis_Delay,Random Forest,0.61,0.23,0.99,0.37,0.87,0.9,0.85,RandomForestClassifier,"{'class_weight':None,'criterion':'gini','max_depth':5,'n_estimators':21,'random_state':42}",,,,0.01,0.61,0.24,0.98,0.35,0.85,0.89,0.71
