Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,fit_time
Decision Tree,0.77,0.83,0.71,0.42,0.83,0.73,0.28,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'random_state': 42}",0.01
Decision Tree,0.77,0.81,0.72,0.42,0.82,0.73,0.28,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'random_state': 42}",0.01
Decision Tree,0.75,0.74,0.76,0.43,0.83,0.76,0.3,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'random_state': 42}",0.01
Decision Tree,0.75,0.74,0.76,0.43,0.83,0.76,0.3,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'random_state': 42}",0.01
Decision Tree,0.74,0.87,0.6,0.36,0.81,0.63,0.23,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 4, 'random_state': 42}",0.01
