Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,fit_time
k-NN,0.64,0.32,0.96,0.39,0.76,0.88,0.5,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.02
k-NN,0.64,0.32,0.96,0.39,0.75,0.88,0.52,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.03
k-NN,0.63,0.28,0.98,0.38,0.78,0.89,0.62,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.03
k-NN,0.62,0.28,0.96,0.35,0.73,0.88,0.46,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.01
k-NN,0.6,0.23,0.96,0.31,0.79,0.88,0.46,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.01
