Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.81,0.85,0.77,0.48,0.88,0.78,0.33,BalancedBaggingClassifier,"{'n_estimators': 11, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': True}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=11, random_state=42)",0.02
Balanced Bagging,0.81,0.85,0.77,0.48,0.88,0.78,0.33,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=11, random_state=42)",0.03
Balanced Bagging,0.81,0.85,0.77,0.48,0.88,0.78,0.33,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=11, random_state=42)",0.03
Balanced Bagging,0.81,0.85,0.77,0.48,0.88,0.78,0.33,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': True}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=11, random_state=42)",0.03
Balanced Bagging,0.81,0.85,0.77,0.48,0.88,0.78,0.33,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': True}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=11, random_state=42)",0.03
