Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.83,0.85,0.82,0.53,0.88,0.82,0.38,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(22,),              learning_rate='adaptive', learning_rate_init=0.5, max_iter=2000,              random_state=42)",0.01
Balanced Bagging,0.83,0.85,0.82,0.53,0.88,0.82,0.38,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(22,),              learning_rate='adaptive', learning_rate_init=0.5, max_iter=2000,              random_state=42)",0.01
Balanced Bagging,0.81,0.91,0.71,0.45,0.89,0.73,0.3,BalancedBaggingClassifier,"{'n_estimators': 25, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': True}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(22,),              learning_rate='adaptive', learning_rate_init=0.5, max_iter=2000,              random_state=42)",0.01
Balanced Bagging,0.81,0.91,0.71,0.45,0.89,0.73,0.3,BalancedBaggingClassifier,"{'n_estimators': 25, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(22,),              learning_rate='adaptive', learning_rate_init=0.5, max_iter=2000,              random_state=42)",0.01
Balanced Bagging,0.81,0.91,0.71,0.45,0.89,0.73,0.3,BalancedBaggingClassifier,"{'n_estimators': 25, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': True}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(22,),              learning_rate='adaptive', learning_rate_init=0.5, max_iter=2000,              random_state=42)",0.01
