Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,fit_time
k-NN,0.68,0.4,0.96,0.48,0.81,0.9,0.59,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.03
k-NN,0.67,0.38,0.96,0.46,0.81,0.89,0.56,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.02
k-NN,0.67,0.36,0.98,0.48,0.85,0.91,0.71,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.03
k-NN,0.67,0.36,0.97,0.47,0.86,0.9,0.65,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.02
k-NN,0.65,0.32,0.98,0.43,0.84,0.9,0.68,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.02
