Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Single_Model,without_Diagnosis_Delay,Decision Tree,0.7,0.47,0.94,0.48,0.81,0.88,0.5,DecisionTreeClassifier,"{'class_weight':None,'criterion':'gini','max_depth':7,'random_state':42}",,,,0.01,0.62,0.29,0.96,0.36,0.66,0.87,0.5
Single_Model,without_Diagnosis_Delay,Decision Tree,0.66,0.36,0.95,0.42,0.8,0.88,0.5,DecisionTreeClassifier,"{'class_weight':None,'criterion':'gini','max_depth':5,'random_state':42}",,,,0.01,0.62,0.27,0.97,0.37,0.76,0.88,0.59
Single_Model,without_Diagnosis_Delay,Decision Tree,0.69,0.45,0.93,0.46,0.83,0.88,0.48,DecisionTreeClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':3,'random_state':42}",,,,0.01,0.62,0.27,0.97,0.36,0.8,0.88,0.58
Single_Model,without_Diagnosis_Delay,Decision Tree,0.67,0.47,0.87,0.39,0.68,0.82,0.33,DecisionTreeClassifier,"{'class_weight':'balanced','criterion':'entropy','max_depth':25,'random_state':42}",,,,0.01,0.62,0.34,0.89,0.33,0.62,0.82,0.33
Single_Model,without_Diagnosis_Delay,Decision Tree,0.63,0.38,0.88,0.34,0.62,0.82,0.31,DecisionTreeClassifier,"{'class_weight':'balanced','criterion':'gini','max_depth':15,'random_state':42}",,,,0.01,0.62,0.34,0.89,0.33,0.61,0.82,0.32
Single_Model,without_Diagnosis_Delay,Decision Tree,0.69,0.45,0.93,0.45,0.79,0.87,0.46,DecisionTreeClassifier,"{'class_weight':None,'criterion':'gini','max_depth':3,'random_state':42}",,,,0.01,0.62,0.26,0.97,0.35,0.78,0.88,0.56
Single_Model,without_Diagnosis_Delay,Decision Tree,0.62,0.36,0.88,0.32,0.62,0.81,0.28,DecisionTreeClassifier,"{'class_weight':'balanced','criterion':'gini','max_depth':25,'random_state':42}",,,,0.01,0.61,0.34,0.89,0.32,0.62,0.81,0.31
Single_Model,without_Diagnosis_Delay,Decision Tree,0.7,0.47,0.94,0.49,0.85,0.88,0.51,DecisionTreeClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':7,'random_state':42}",,,,0.01,0.61,0.26,0.96,0.34,0.68,0.87,0.54
Single_Model,without_Diagnosis_Delay,Decision Tree,0.66,0.36,0.95,0.42,0.78,0.88,0.5,DecisionTreeClassifier,"{'class_weight':None,'criterion':'gini','max_depth':4,'random_state':42}",,,,0.01,0.61,0.24,0.97,0.33,0.79,0.88,0.58
Single_Model,without_Diagnosis_Delay,Decision Tree,0.61,0.23,0.98,0.33,0.8,0.89,0.58,DecisionTreeClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':4,'random_state':42}",,,,0.01,0.6,0.23,0.98,0.33,0.8,0.88,0.6
