Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.87,0.91,0.82,0.56,0.93,0.83,0.4,BalancedBaggingClassifier,"{'n_estimators': 7, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=51, random_state=42)",0.05
Balanced Bagging,0.86,0.89,0.82,0.56,0.93,0.83,0.41,BalancedBaggingClassifier,"{'n_estimators': 25, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': True}","DecisionTreeClassifier(class_weight='balanced', max_depth=4, random_state=42)",0.01
Balanced Bagging,0.86,0.87,0.85,0.58,0.93,0.85,0.44,BalancedBaggingClassifier,"{'n_estimators': 7, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(activation='tanh', alpha=0.5, hidden_layer_sizes=(23,),              learning_rate_init=0.7, max_iter=2000, random_state=42,              solver='sgd')",0.01
Balanced Bagging,0.85,0.89,0.81,0.55,0.93,0.82,0.39,BalancedBaggingClassifier,"{'n_estimators': 21, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}","SVC(C=0.7, class_weight='balanced', kernel='linear', probability=True,    random_state=42)",0.05
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'n_estimators': 11, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}","ComplementNB(alpha=3.0, force_alpha=True)",0.01
Balanced Bagging,0.81,0.81,0.82,0.51,0.89,0.82,0.38,BalancedBaggingClassifier,"{'n_estimators': 25, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': True}",GaussianNB(),0.01
Balanced Bagging,0.79,0.79,0.8,0.48,0.88,0.8,0.35,BalancedBaggingClassifier,"{'n_estimators': 25, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': True}","KNeighborsClassifier(metric='manhattan', n_neighbors=3)",0.12
Balanced Bagging,0.63,0.98,0.28,0.27,0.73,0.36,0.16,BalancedBaggingClassifier,"{'n_estimators': 7, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}","RadiusNeighborsClassifier(leaf_size=300, metric='manhattan', outlier_label=1)",0.05
