Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.87,0.91,0.82,0.56,0.93,0.83,0.4,BalancedBaggingClassifier,"{'n_estimators': 7, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=51, random_state=42)",0.05
Balanced Bagging,0.87,0.91,0.82,0.56,0.93,0.83,0.4,BalancedBaggingClassifier,"{'n_estimators': 7, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=51, random_state=42)",0.06
Balanced Bagging,0.85,0.89,0.81,0.55,0.92,0.82,0.39,BalancedBaggingClassifier,"{'n_estimators': 19, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=51, random_state=42)",0.13
Balanced Bagging,0.85,0.89,0.81,0.55,0.92,0.82,0.39,BalancedBaggingClassifier,"{'n_estimators': 19, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=51, random_state=42)",0.13
Balanced Bagging,0.85,0.89,0.81,0.54,0.92,0.82,0.39,BalancedBaggingClassifier,"{'n_estimators': 25, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=51, random_state=42)",0.17
