Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'n_estimators': 11, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}","ComplementNB(alpha=3.0, force_alpha=True)",0.01
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'n_estimators': 11, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}","ComplementNB(alpha=3.0, force_alpha=True)",0.01
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'n_estimators': 11, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': True}","ComplementNB(alpha=3.0, force_alpha=True)",0.01
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'n_estimators': 11, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}","ComplementNB(alpha=3.0, force_alpha=True)",0.01
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'n_estimators': 11, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': True}","ComplementNB(alpha=3.0, force_alpha=True)",0.01
