Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.63,0.98,0.28,0.27,0.73,0.36,0.16,BalancedBaggingClassifier,"{'n_estimators': 7, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}","RadiusNeighborsClassifier(leaf_size=300, metric='manhattan', outlier_label=1)",0.05
Balanced Bagging,0.63,0.98,0.28,0.27,0.73,0.36,0.16,BalancedBaggingClassifier,"{'n_estimators': 7, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}","RadiusNeighborsClassifier(leaf_size=300, metric='manhattan', outlier_label=1)",0.06
Balanced Bagging,0.63,0.98,0.28,0.27,0.73,0.36,0.16,BalancedBaggingClassifier,"{'n_estimators': 7, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}","RadiusNeighborsClassifier(leaf_size=300, metric='manhattan', outlier_label=1)",0.06
Balanced Bagging,0.63,0.98,0.28,0.27,0.73,0.36,0.16,BalancedBaggingClassifier,"{'n_estimators': 7, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': True}","RadiusNeighborsClassifier(leaf_size=300, metric='manhattan', outlier_label=1)",0.06
Balanced Bagging,0.63,0.98,0.28,0.27,0.73,0.36,0.16,BalancedBaggingClassifier,"{'n_estimators': 7, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': True}","RadiusNeighborsClassifier(leaf_size=300, metric='manhattan', outlier_label=1)",0.06
